group;var;value;min;max;weight
1;"Domain";"Space and Figures";9;10;1
1;"Domain";"Numbers";9;10;1
1;"Domain";"Relations and Functions";9;10;1
1;"Domain";"Data and Forecasting";9;10;1
1;"Answer_type";"Multiple-Choice";27;;1
1;"Answer_type";"Matching";8;;1
1;"Answer_type";"Open-Ended";4;6;1
1;"Dimension";"Knowing";23;26;1
1;"Dimension";"Problem Solving";9;11;1
