n,theta_true_value,jl_RMSE,mirt_RMSE,mirt_EHW_RMSE,jl_BIAS,mirt_BIAS,mirt_EHW_BIAS
1,-1.5234605641277472,0.9189011208856394,1.1173984438522622,1.5234605641277472,0.9189011208856394,1.1173984438522622,1.5234605641277472
2,-1.5234605641277472,0.2616944956076104,1.9186254541106473,1.5234605641277472,0.2616944956076104,1.9186254541106473,1.5234605641277472
3,-1.5234605641277472,0.055158154898049094,0.7429738427310605,1.5234605641277472,0.055158154898049094,0.7429738427310605,1.5234605641277472
4,-1.5234605641277472,0.1353489835329147,1.8109226060595045,1.5234605641277472,0.1353489835329147,1.8109226060595045,1.5234605641277472
5,-1.5234605641277472,1.3252745833426076,1.2221781897789255,1.5234605641277472,1.3252745833426076,1.2221781897789255,1.5234605641277472
6,-1.5234605641277472,0.08715304468734808,2.377949881575807,1.5234605641277472,0.08715304468734808,2.377949881575807,1.5234605641277472
7,-1.5234605641277472,1.7731153603613476,1.2838779689151896,1.5234605641277472,1.7731153603613476,1.2838779689151896,1.5234605641277472
8,-1.5234605641277472,0.15602107913309626,1.5795923610028286,1.5234605641277472,0.15602107913309626,1.5795923610028286,1.5234605641277472
9,-1.5234605641277472,1.7026714109845593,1.239541862274438,1.5234605641277472,1.7026714109845593,1.239541862274438,1.5234605641277472
10,-1.5234605641277472,1.2975170611297588,2.703669143074202,1.5234605641277472,1.2975170611297588,2.703669143074202,1.5234605641277472
11,-1.5234605641277472,0.09046472318954946,1.806962716576789,1.5234605641277472,-0.09046472318954946,1.806962716576789,1.5234605641277472
12,-1.5234605641277472,1.2793381839738398,0.8207024165479546,1.5234605641277472,1.2793381839738398,0.8207024165479546,1.5234605641277472
13,-1.5234605641277472,1.705945849055902,2.519256741469341,1.5234605641277472,1.705945849055902,2.519256741469341,1.5234605641277472
14,-1.5234605641277472,0.7757557343189606,0.1997342328894005,1.5234605641277472,0.7757557343189606,-0.1997342328894005,1.5234605641277472
15,-1.5234605641277472,0.20408456475436143,0.3211847384783715,1.5234605641277472,-0.20408456475436143,-0.3211847384783715,1.5234605641277472
16,-1.5234605641277472,2.2456326118800085,1.2320389441068822,1.5234605641277472,2.2456326118800085,1.2320389441068822,1.5234605641277472
17,-1.5234605641277472,1.61868812888585,1.6973276488071347,1.5234605641277472,1.61868812888585,1.6973276488071347,1.5234605641277472
18,-1.5234605641277472,1.2577624163667183,2.6557642130837227,1.5234605641277472,1.2577624163667183,2.6557642130837227,1.5234605641277472
19,-1.5234605641277472,1.1054819784256655,2.319108714792389,1.5234605641277472,1.1054819784256655,2.319108714792389,1.5234605641277472
