i,b_true_value,b_jl_RMSE,b_mirt_RMSE,b_mirt_EHW_RMSE,b_jl_BIAS,b_mirt_BIAS,b_mirt_EHW_BIAS,a_true_value,a_jl_RMSE,a_mirt_RMSE,a_mirt_EHW_RMSE,a_jl_BIAS,a_mirt_BIAS,a_mirt_EHW_BIAS
1,-0.727989994715309,2.2839134552021996,0,0.727989994715309,2.2839134552021996,0,0.727989994715309,1.2747369150998624,0.1142368787940331,0,3.083207953715641,-0.1142368787940331,0,-3.083207953715641
2,-0.538355706947547,0.5681455168898932,0,0.538355706947547,0.5681455168898932,0,0.538355706947547,0.8952645427638299,0.3482657549151542,0,2.4372237694166285,0.3482657549151542,0,-2.4372237694166285
3,-0.14654101520525173,1.9064876015267642,0,0.14654101520525173,1.9064876015267642,0,0.14654101520525173,0.9727578787858129,0.09951425063898167,0,2.4959456594885467,0.09951425063898167,0,-2.4959456594885467
4,-0.43465276534707287,0.9897995507993592,0,0.43465276534707287,0.9897995507993592,0,0.43465276534707287,0.8424933278336163,0.03650393120102058,0,2.1213176101780973,-0.03650393120102058,0,-2.1213176101780973
5,-0.7342629735102028,0.2607132464718146,0,0.7342629735102028,0.2607132464718146,0,0.7342629735102028,1.3750840615820055,0.30953854883567766,0,2.6065984662612736,-0.30953854883567766,0,-2.6065984662612736
6,-1.8084710386157785,2.344203657803984,0,1.8084710386157785,2.344203657803984,0,1.8084710386157785,0.9267890806614741,0.26510155307292493,0,2.0680915458497044,0.26510155307292493,0,-2.0680915458497044
7,1.0033903390307142,0.41651667968529804,0,1.0033903390307142,-0.41651667968529804,0,-1.0033903390307142,1.277481915435641,0.31705352961529354,0,2.2659975691573355,-0.31705352961529354,0,-2.2659975691573355
8,1.9305932567369275,1.7427781309468866,0,1.9305932567369275,-1.7427781309468866,0,-1.9305932567369275,1.2817747691864103,0.7007597413884765,0,2.205937046194078,-0.7007597413884765,0,-2.205937046194078
9,1.2869241581897575,0.5585679514277653,0,1.2869241581897575,0.5585679514277653,0,-1.2869241581897575,0.7327121420475065,0.6337804349570308,0,1.4669751155577093,0.6337804349570308,0,-1.4669751155577093
10,-0.6080745996864081,1.1402341865967993,0,0.6080745996864081,1.1402341865967993,0,0.6080745996864081,0.9376515122285554,0.2952115120419665,0,1.6656415069438644,0.2952115120419665,0,-1.6656415069438644
11,0.796476862085564,1.3912454637376301,0,0.796476862085564,-1.3912454637376301,0,-0.796476862085564,0.6360661373749235,0.6768323212422407,0,1.2888952598126613,0.6768323212422407,0,-1.2888952598126613
12,0.05297899575986479,2.0236665278246693,0,0.05297899575986479,2.0236665278246693,0,-0.05297899575986479,0.6113539549381076,1.0019492491023936,0,1.2194285546245158,1.0019492491023936,0,-1.2194285546245158
13,0.7735997381957227,0.6995773569001099,0,0.7735997381957227,-0.6995773569001099,0,-0.7735997381957227,1.3562913433969768,0.32498470529191437,0,1.8946470503445236,-0.32498470529191437,0,-1.8946470503445236
14,-1.231514404679268,0.1985498512746755,0,1.231514404679268,0.1985498512746755,0,1.231514404679268,1.0206971007731946,0.48062142613997216,0,1.4553498661202675,0.48062142613997216,0,-1.4553498661202675
15,1.210486704329339,0.20783222388747924,0,1.210486704329339,0.20783222388747924,0,-1.210486704329339,0.7299385841421484,0.45315659697380317,0,1.0104199447070912,0.45315659697380317,0,-1.0104199447070912
16,1.4336123860516556,0.8200904128940071,0,1.4336123860516556,-0.8200904128940071,0,-1.4336123860516556,1.1467725048595148,0.14764775647382034,0,1.2933135200647665,0.14764775647382034,0,-1.2933135200647665
17,1.5432053350032846,1.232676295547643,0,1.5432053350032846,1.232676295547643,0,-1.5432053350032846,0.584111197131172,0.6997740206696969,0,0.6136761318671022,0.6997740206696969,0,-0.6136761318671022
18,0.3078075847624847,0.5922291198494735,0,0.3078075847624847,-0.5922291198494735,0,-0.3078075847624847,1.0921655157569883,0.5091924878769322,0,1.0391865199971235,-0.5091924878769322,0,-1.0391865199971235
19,1.2243907781301866,1.9907581727400103,0,1.2243907781301866,-1.9907581727400103,0,-1.2243907781301866,1.0430705590667415,0.13491561838880717,0,0.8957475333714772,0.13491561838880717,0,-0.8957475333714772
20,0.42783292871143996,0.8061872543306201,0,0.42783292871143996,0.8061872543306201,0,-0.42783292871143996,1.3285397713022613,0.2768470704058863,0,1.0331150673035707,0.2768470704058863,0,-1.0331150673035707
21,-0.28048136056494277,0.030176845712691636,0,0.28048136056494277,0.030176845712691636,0,0.28048136056494277,0.9286145945752609,0.6077217020119459,0,0.6208070098127761,0.6077217020119459,0,-0.6208070098127761
22,0.4620354344524545,0.09081464947316037,0,0.4620354344524545,0.09081464947316037,0,-0.4620354344524545,0.7978758334844495,0.758328569082659,0,0.3700429047730095,0.758328569082659,0,-0.3700429047730095
23,-0.6528291224377378,2.3618172748103317,0,0.6528291224377378,2.3618172748103317,0,0.6528291224377378,1.5572814355448676,0.3187458860192862,0,1.0952460010924132,-0.3187458860192862,0,-1.0952460010924132
24,-1.5231877807027339,2.0703693798067837,0,1.5231877807027339,2.0703693798067837,0,1.5231877807027339,1.1581349362017006,0.0252461445573422,0,0.6523997404038215,-0.0252461445573422,0,-0.6523997404038215
25,0.14732302569526434,0.5082028685912494,0,0.14732302569526434,-0.5082028685912494,0,-0.14732302569526434,1.0413741009131658,0.111416454255856,0,0.26777436271744315,-0.111416454255856,0,-0.26777436271744315
26,0.9196680236328808,0.7412060818892052,0,0.9196680236328808,-0.7412060818892052,0,-0.9196680236328808,1.2650386052634675,0.3018261875071301,0,0.46856174317790344,-0.3018261875071301,0,-0.46856174317790344
27,0.2954247039986907,0.045101929882109926,0,0.2954247039986907,0.045101929882109926,0,-0.2954247039986907,1.3332054749507305,0.27120255051884756,0,0.4135374513178497,-0.27120255051884756,0,-0.4135374513178497
28,-0.02956493473593027,0.7695873819691262,0,0.02956493473593027,0.7695873819691262,0,0.02956493473593027,0.8823838316557215,0.687659916408774,0,0.12100650737499263,0.687659916408774,0,0.12100650737499263
29,-1.1413024651882304,1.0914677336258225,0,1.1413024651882304,1.0914677336258225,0,1.1413024651882304,0.8069639876622738,0.056877354390951096,0,0.24579190120769256,-0.056877354390951096,0,0.24579190120769256
30,-0.9885156537216946,1.070599715445171,0,0.9885156537216946,1.070599715445171,0,0.9885156537216946,0.9914031664344823,0.05559703525715787,0,0.11715752416277236,-0.05559703525715787,0,0.11715752416277236
31,1.1085606905972547,0.23552763100599083,0,1.1085606905972547,-0.23552763100599083,0,-1.1085606905972547,0.6899130168266969,0.4022441157839993,0,0.5091758190074152,0.4022441157839993,0,0.5091758190074152
32,-0.9241622770076675,0.8089934782423747,0,0.9241622770076675,0.8089934782423747,0,0.9241622770076675,1.2939844904953328,0.651678459618294,0,0.08349778616599379,-0.651678459618294,0,-0.08349778616599379
33,1.5032317985858312,1.40215550152019,0,1.5032317985858312,-1.40215550152019,0,-1.5032317985858312,1.074152009249798,0.025398566012151846,0,0.15023876888038856,0.025398566012151846,0,0.15023876888038856
34,-1.2788242823444809,1.4667843032205852,0,1.2788242823444809,1.4667843032205852,0,1.2788242823444809,0.8782372517481803,0.1694927548474544,0,0.4086869064415771,0.1694927548474544,0,0.4086869064415771
35,0.5057351957978791,0.0008842754085679472,0,0.5057351957978791,-0.0008842754085679472,0,-0.5057351957978791,0.7846945048209726,0.29684759614672507,0,0.6489178812306831,-0.29684759614672507,0,0.6489178812306831
36,1.5203712934847622,1.9038864996986107,0,1.5203712934847622,-1.9038864996986107,0,-1.5203712934847622,1.0170338310718756,0.46637422527618577,0,0.4861979675139556,0.46637422527618577,0,0.4861979675139556
37,-1.5419592266527988,0.5101469640187459,0,1.5419592266527988,0.5101469640187459,0,1.5419592266527988,1.0477821781924852,0.2919137609606325,0,0.472589115292277,-0.2919137609606325,0,0.472589115292277
38,1.0527558888699664,0.374470377351497,0,1.0527558888699664,0.374470377351497,0,-1.0527558888699664,1.0999184776502757,0.10562148912984293,0,0.4432868573530089,-0.10562148912984293,0,0.4432868573530089
39,1.199088835834112,0.09993795174611142,0,1.199088835834112,0.09993795174611142,0,-1.199088835834112,1.0910264229663476,0.3379273190729827,0,0.83956683377058,-0.3379273190729827,0,0.83956683377058
