x1,x2,x3,x4,x5,x6
0.18326800709353963,0.189393790174272,0.19106547369728985,0.19296673664030245,0.19954304426560548,0.186176357679032
0.198726190427302,0.20510559159886985,0.2068545059637461,0.20898069268745134,0.21623818033499084,0.2016906910876199
0.21548122945490453,0.22227936411277563,0.224148480211146,0.22643354142497524,0.23443422419354645,0.2186252490651718
0.23362402878722288,0.2410396225837483,0.24308284341416414,0.2454579128966623,0.2542746351742946,0.23718654893699798
0.2533258650389324,0.2615370478113711,0.2637521074631951,0.26637501455121526,0.2759167223726626,0.2574115504990308
0.2748977159625609,0.28387134727000235,0.28642195863374653,0.28910697929658014,0.2995327892875767,0.2795652356907624
0.2985331888081226,0.30845079065818704,0.3111359591493794,0.3139990977836972,0.3253112980935077,0.3038406555591957
0.3244459272263849,0.3352667170352949,0.3381507839859378,0.34125158537120914,0.3534580276276986,0.33033840019331456
0.35287128514532107,0.3645086492242032,0.3677185004973473,0.3710752855110099,0.38419719006817366,0.3593768984501767
0.3840679977524458,0.39680084256384696,0.40019503103452586,0.40367468373614906,0.4177724601400152,0.39135973674831426
0.4183197969875709,0.4320821153779551,0.435660932863153,0.4394513908087808,0.454447857264065,0.4263863769988638
0.4559369010832546,0.470674717485309,0.47451818535002777,0.4785987775341471,0.4945084051378472,0.46433836494056285
0.4971357778652944,0.5129659952484533,0.5170790558758112,0.5214959144175453,0.538260474679545,0.5062730877975032
0.5423420621781342,0.5593751662455474,0.5638107917187363,0.5684145998621103,0.5860316950809086,0.552139579671622
0.5919752507700505,0.6102813289471374,0.614965214390686,0.6200165427313999,0.6384617394078681,0.6024858483753304
0.6464532963123575,0.6657574909678943,0.6710142798519395,0.6763512123811842,0.696047303209636,0.6576196464673976
0.7062210866806016,0.7266314389930358,0.732287599671925,0.7378798860462481,0.7589255188705714,0.717928990766791
0.7717481444383383,0.7932156007988388,0.7994674046552773,0.8052766840599783,0.8275183453718874,0.784141379860981
0.8435248757611246,0.8657592398593745,0.8724973388663388,0.8789113314031078,0.9022577906860388,0.8564512440533164
0.9220570183844028,0.9452560994236879,0.9523549369139677,0.9588848318529258,0.9835790729071711,0.9355209914790128
1.0078579008870563,1.0321582722354385,1.039447116665671,1.0462254874531671,1.071911728161261,1.0211839518436552
1.1008623818045922,1.1265529830300975,1.1335039673570346,1.1411053417757544,1.1676683897409863,1.1147078528460495
1.2017210952371118,1.2286547985124017,1.2357200733302234,1.244215466748245,1.2712310015875552,1.2153689658700526
