a,b,c
0.88563,0.84438,0.0
0.9954,0.13988,0.4633
1.0926,0.45948,0.0
0.899,-0.37466,0.0
0.82878,0.39971,0.0
1.07301,0.78013,0.34271
1.30133,0.95823,0.15266
0.98805,0.11953,0.33535
1.05232,-0.52301,0.38358
0.56968,-1.05555,0.25
0.98447,0.43867,0.1812
0.91218,0.36343,0.15097
0.82666,0.2676,0.13667
0.88432,0.33683,0.0
1.16534,0.62072,0.27075
0.65068,-1.06405,0.0
0.55449,0.06929,0.0
1.15613,0.58049,0.0
1.33172,0.93081,0.0
0.91021,1.33399,0.0
0.86605,0.04366,0.0
1.21385,0.22146,0.23176
0.88958,-0.00189,0.0
0.9179,0.35977,0.28243
0.84464,1.71049,0.0
0.67739,-0.42119,0.16116
0.42602,0.86471,0.0
1.20326,0.94731,0.29836
0.78138,0.81871,0.34895
0.97745,0.33617,0.19734
0.78409,0.79208,0.0
1.16108,1.33688,0.0
0.72288,0.27989,0.35804
0.39904,0.55818,0.15339
0.71629,0.31294,0.0
0.88139,1.62176,0.20248
0.78134,0.64091,0.0
0.82278,1.0648,0.2227
1.27198,0.38575,0.24318
1.59168,1.13323,0.25606
0.86916,0.07406,0.14403
1.07043,0.77079,0.15005
0.7799,0.40121,0.0
0.84341,2.08393,0.0
1.20103,1.30736,0.25899
0.95758,0.78267,0.34882
0.75071,0.70667,0.18642
0.75507,-1.19774,0.0
0.94036,1.18536,0.27906
1.08247,1.321,0.26356
0.55152,1.13286,0.0
0.86175,0.85924,0.0944
0.89965,1.06966,0.28571
1.0239,-0.28026,0.29582
0.77324,0.9911,0.28974
0.91621,0.70305,0.0
0.6926,0.91885,0.0
1.21493,0.23797,0.18691
0.39855,0.39039,0.16162
