group;var;value;min;max;weight
1;DOMAIN;Numeri;11;;1
1;DOMAIN;Spazio e figure;11;;1
1;DOMAIN;Dati e previsioni;11;;1
1;DOMAIN;Relazioni e funzioni;8;;1
1;DIMENSION;Conoscere;26;;1
1;DIMENSION;Argomentare;4;;1
1;DIMENSION;Risolvere problemi;14;;1
