group;var;value;min;max;weight
1;DOMAIN;Numeri;11;13;1
1;DOMAIN;Spazio e figure;11;13;1
1;DOMAIN;Dati e previsioni;11;13;1
1;DOMAIN;Relazioni e funzioni;11;13;1
1;DIMENSION;Conoscere;24;29;1
